source,doi,title,abstract,venue,year,citations,authors,url,filter_status
crossref,10.1093/jjfinec/nbac002,The Determinants of Volatility Timing Performance,"Abstract The exact conditions under which volatility timing strategies yield value are documented. These conditions include: the ability to correctly forecast next period stochastic variance, and violation of a strict version of Merton’s intertemporal capital asset pricing model (ICAPM). While the empirical evidence supports the first of these conditions, the latter remains open to debate. Our empirical results confirm the former, but demonstrate a significant violation of the (strict) ICAPM. It follows that volatility timing strategies appear to have value. However, using reasonable parameter values plugged into the derived formulae, the results also show that extreme leverage is often required for success. A method of tempering leverage is proposed, which is somewhat able to loosen the requirement of high leverage while still maintaining a good performance level. Given the likely variation in (strict) ICAPM violations across time and assets, it follows that volatility timing success (or failure) is very much sample dependent.",Journal of Financial Econometrics,2023,5,"Taylor, Nick",https://doi.org/10.1093/jjfinec/nbac002,pass
crossref,10.1093/jjfinec/nbad008,Endogenous Volatility in the Foreign Exchange Market,"Abstract We study two sources of heteroscedasticity in high-frequency financial data and estimate their contribution to overall volatility by means of a Markov switching (MS) structural VAR model. We achieve identification for all coefficients by assuming that the structural errors follow a GARCH-DCC process. Using transaction data of the EUR/USD interdealer market in 2016, we first detect three regimesof volatility. Then we show that both sources of volatility matter for the transmission of shocks, and that information is channeled to the market mostly through demand shocks. This suggests that, on the EUR/USD market, some liquidity takers (LTs) are better informed than both liquidity providers and those LTs who follow a feedback strategy.",Journal of Financial Econometrics,2024,0,"Bargigli, Leonardo; Cifarelli, Giulio",https://doi.org/10.1093/jjfinec/nbad008,drop:no_forecast_term
crossref,10.1093/jjfinec/nbz041,Volatility Prediction Using a Realized-Measure-Based Component Model,"Abstract This article introduces a volatility model with a component structure allowing for a realized measure based on high-frequency data (e.g., realized variance) to drive the short-run volatility dynamics. In a joint model of the daily return and the realized measure, the conditional variance of the daily return has a multiplicative component structure: the first component traces long-run (secular) volatility trends, while the second component captures short-run (transitory) movements in volatility. Despite being a fixed-parameter model, its component structure implies time-varying parameters, which are “data-driven” to capture changing volatility regimes. We discuss the model dynamics and estimation by maximum likelihood. The empirical analysis reveals statistically significant out-of-sample gains compared to benchmark models, particularly for short forecast horizons and during the financial crisis.",Journal of Financial Econometrics,2022,3,"Noureldin, Diaa",https://doi.org/10.1093/jjfinec/nbz041,pass
crossref,10.1093/jjfinec/nby028,Factor High-Frequency-Based Volatility (HEAVY) Models*,,Journal of Financial Econometrics,2019,17,"Sheppard, Kevin; Xu, Wen",https://doi.org/10.1093/jjfinec/nby028,drop:no_forecast_term
crossref,10.1093/jjfinec/nbae013,"Volatility Shocks, Leverage Effects, and Time-Varying Conditional Skewness","Abstract I use GARCH-X specifications for stock index returns to investigate the connections between conditional skewness and variance shocks computed from realized variances. The evidence indicates that the conditional skewness of index returns is strongly influenced by variance shocks and displays a remarkable degree of persistence. Indeed, variance shocks not only drive changes in conditional skewness, but also act as a common factor that generates substantial negative correlation between contemporaneous changes in the conditional volatility and conditional skewness of index returns. The resultant linkages between these conditional moments could have important implications in asset pricing, portfolio selection, and risk management applications.",Journal of Financial Econometrics,2024,1,"Kirby, Chris",https://doi.org/10.1093/jjfinec/nbae013,drop:no_forecast_term
crossref,10.1093/jjfinec/nby004,"Inflation Risk Premia, Yield Volatility, and Macro Factors","Abstract We incorporate a latent stochastic volatility factor and macroeconomic expectations in an affine model for the term structure of nominal and real rates. We estimate the model over 1999–2016 on U.S. data for nominal and TIPS yields, the realized and implied volatility of T-bonds, and survey forecasts of GDP growth and inflation. We find relatively stable inflation risk premia averaging at 40 basis points at the long-end, and which are strongly related to the volatility factor and conditional mean of output growth. We also document real risk premia that turn negative in the post-crisis period, and a non-negligible variance risk premium.",Journal of Financial Econometrics,2019,6,"Berardi, Andrea; Plazzi, Alberto",https://doi.org/10.1093/jjfinec/nby004,drop:no_comparison_term
crossref,10.1093/jjfinec/nbab028,Increasing the information content of realized volatility forecasts,"Abstract Assuming N available calendar days, each with M intraday returns, the realized volatility literature suggests creating N end-of-day estimators by summing the M squared returns from each particular date. Instead of this “Calendar” [realized variance (RV)] approach, we propose a “Rolling” [rolling RV (RRV)] approach that simply sums trailing M returns at each timestamp, regardless if all M returns belong to the same calendar date. When estimating an out-of-sample 1-day realized volatility model, the former results in an ordinary least squares (OLS) regression with N−1 datapoints while the latter incorporates M(N−2)+1 datapoints, effectively lowering the standard errors, and potentially resulting in more accurate forecasts. We compare both models for the S&amp;P 500 and 26 Dow Jones Industrial Average stocks; our results generally suggest that the Rolling approach yields both statistically and economically significant superior out-of-sample performance over the traditional Calendar approach.",Journal of Financial Econometrics,2023,7,"Pascalau, Razvan; Poirier, Ryan",https://doi.org/10.1093/jjfinec/nbab028,pass
crossref,10.1093/jjfinec/nbac034,Periodicity in Cryptocurrency Volatility and Liquidity,"Abstract We study recurrent patterns in volatility and volume for major cryptocurrencies, Bitcoin and Ether, using data from two centralized exchanges (CEXs; Coinbase Pro and Binance) and a decentralized exchange (DEX; Uniswap V2). We find systematic patterns in both volatility and volume across day-of-the-week, hour-of-the-day, and within the hour. These patterns have grown stronger over the years and are presumably related to algorithmic trading and funding times in futures markets. We also document that price formation mainly takes place on the CEXs while price adjustments on the DEXs can be sluggish.",Journal of Financial Econometrics,2024,19,"Hansen, Peter Reinhard; Kim, Chan; Kimbrough, Wade",https://doi.org/10.1093/jjfinec/nbac034,drop:no_forecast_term
crossref,10.1093/jjfinec/nbaf016,Finding Inflation Uncertainty Factors: A Sparse Stochastic Volatility Approach,"Abstract Inflation uncertainty is an undeniable factor in economic decision-making. In this study, we investigate predictive factors that possess information on inflation uncertainty among many observable macroeconomic variables and uncertainty indices. To do this, we estimate several inflation prediction models popular in the literature, allowing for stochastic volatility with predetermined variables. We apply the Dirac spike-and-slab prior to the volatility-explaining variables to detect relevant macroeconomic determinants of the inflation volatility process. Contrary to prior studies suggesting that the inflation level is essentially a unique factor explaining inflation uncertainty, our findings reveal that survey inflation expectations and the capacity utilization rate are significantly more relevant. These results remain robust to different models of inflation.",Journal of Financial Econometrics,2025,0,"Choi, Hui-Jhong; Kang, Kyu Ho",https://doi.org/10.1093/jjfinec/nbaf016,pass
crossref,10.1093/jjfinec/nbz018,Dynamic Adaptive Mixture Models with an Application to Volatility and Risk,Abstract In this paper we propose a new class of dynamic mixture models (DAMMs) being able to sequentially adapt the mixture components as well as the mixture composition using information coming from the data. The information driven nature of the proposed class of models allows to exactly compute the full likelihood and to avoid computer intensive simulation schemes. Specific models for financial data are developed starting from the general specification. These models nest many specifications already available in the literature. The properties of the new class of models are discussed through the paper and a large-scale application in quantitative risk management using U.S. equity data is reported.,Journal of Financial Econometrics,2021,16,"Catania, Leopoldo",https://doi.org/10.1093/jjfinec/nbz018,drop:no_forecast_term
crossref,10.1093/jjfinec/nbad029,A Stochastic Price Duration Model for Estimating High-Frequency Volatility,"Abstract We propose a stochastic price duration model to estimate high-frequency volatility. A price duration is directly linked to volatility from the passage time theory for Brownian motions, and it possesses several advantages over returns for estimating volatility. We employ price durations in a parametric model that directly specifies stochastic volatility dynamics. Our approach allows us to estimate intraday spot volatility and our empirical results suggest the presence of important intraday volatility dynamics. We conduct an extensive integrated variance forecast comparison, which demonstrates the superior performance of our proposed models compared with other duration-based or return-based estimators.",Journal of Financial Econometrics,2024,3,"Pelletier, Denis; Wei, Wei",https://doi.org/10.1093/jjfinec/nbad029,pass
crossref,10.1093/jjfinec/nbac004,Time-Transformed Test for Bubbles under Non-stationary Volatility,"Abstract This paper is devoted to testing for bubbles under time-varying non-stationary volatility. Because the limiting distribution of the seminal Phillips, Wu, and Yu (2011) test depends on the variance function and usually requires a bootstrap implementation under heteroskedasticity, we construct the test based on a deformation of the time domain. The proposed test is asymptotically pivotal under the null hypothesis and its limiting distribution coincides with that of the standard test under homoskedasticity, so that the test does not require computationally extensive methods for inference. Appealing finite sample properties are demonstrated through Monte-Carlo simulations. An empirical application demonstrates that the upsurge behavior of cryptocurrency time series in the middle of the sample is partially explained by the volatility change.",Journal of Financial Econometrics,2023,5,"Kurozumi, Eiji; Skrobotov, Anton; Tsarev, Alexey",https://doi.org/10.1093/jjfinec/nbac004,drop:no_forecast_term
crossref,10.1093/jjfinec/nbz021,A Mixed Frequency Stochastic Volatility Model for Intraday Stock Market Returns,Abstract We propose a mixed frequency stochastic volatility model for intraday returns. To account for long-memory type of dependence patterns we introduce a long-run component that changes daily and a short-run component that captures the remaining intraday volatility dynamics. We analyze the model’s stochastic properties and extend it to capture leverage effects and overnight return information. The model is estimated by simulated maximum likelihood using efficient importance sampling. We apply the model to 30-min returns of 12 stocks. The results show that the model successfully accounts for the complex dynamic and distributional properties of asset returns both on the intraday and the daily frequency.,Journal of Financial Econometrics,2021,13,"Bekierman, Jeremias; Gribisch, Bastian",https://doi.org/10.1093/jjfinec/nbz021,drop:no_forecast_term
crossref,10.1093/jjfinec/nbac001,A Joint Model for the Term Structure of Interest Rates and Realized Volatility,"Abstract This paper presents a term structure model for no-arbitrage bond yields and realized bond market volatility. Based on well-known results, realized yield curve covariation is linked to generalized autoregressive conditional heteroskedasticity (GARCH)-type conditional covariation. The model is tractable and its latent state variables can be filtered using an exact algorithm. In an empirical study of U.S. Treasury bond data, the model shows that conditional yield curve covariation is priced in long-term yields. Moreover, the model proves useful for multi-step ahead forecasting of realized covariation. Finally, I use the model to quantify interest-rate risk and risk compensation.",Journal of Financial Econometrics,2023,4,"Hansen, Anne Lundgaard",https://doi.org/10.1093/jjfinec/nbac001,drop:no_comparison_term
crossref,10.1093/jjfinec/nbz025,HARK the SHARK: Realized Volatility Modeling with Measurement Errors and Nonlinear Dependencies,"Abstract Despite their effectiveness, linear models for realized variance neglect measurement errors on integrated variance and exhibit several forms of misspecification due to the inherent nonlinear dynamics of volatility. We propose new extensions of the popular approximate long-memory heterogeneous autoregressive (HAR) model apt to disentangle these effects and quantify their separate impact on volatility forecasts. By combining the asymptotic theory of the realized variance estimator with the Kalman filter and by introducing time-varying HAR parameters, we build new models that account for: (i) measurement errors (HARK), (ii) nonlinear dependencies (SHAR) and (iii) both measurement errors and nonlinearities (SHARK). The proposed models are simply estimated through standard maximum likelihood methods and are shown, both on simulated and real data, to provide better out-of-sample forecasts compared to standard HAR specifications and other competing approaches.",Journal of Financial Econometrics,2021,20,"Buccheri, Giuseppe; Corsi, Fulvio",https://doi.org/10.1093/jjfinec/nbz025,pass
crossref,10.1093/jjfinec/nbac015,"News Arrival, Time-Varying Jump Intensity, and Realized Volatility: Conditional Testing Approach","Abstract This paper introduces new econometric tests to identify stochastic intensity jumps in high-frequency data. Our approach exploits the behavior of a time-varying stochastic intensity and allows us to assess how intensely stock market reacts to news. We describe the asymptotic properties of our test statistics, derive the associated central limit theorem and show in simulations that the tests have good size and reasonable power in finite-sample cases. Implementing our testing procedures on the S&amp;P 500 exchange-traded fund data, we find strong evidence for the presence of intensity jumps surrounding the scheduled Federal Open Market Committee (FOMC) policy announcements. Intensity jumps occur very frequently, trigger sharp increases in realized volatility and arrive when differences in opinion among market participants are large at times of FOMC press releases. Unlike intensity jumps, volatility jumps fail to explain the variation in news-induced realized volatility.",Journal of Financial Econometrics,2023,3,"Erdemlioglu, Deniz; Yang, Xiye",https://doi.org/10.1093/jjfinec/nbac015,drop:no_forecast_term
crossref,10.1093/jjfinec/nbac011,Testing Hypotheses on the Innovations Distribution in Semi-Parametric Conditional Volatility Models,"Abstract Testing symmetry or quantile assumptions on the innovations distribution can be of invaluable help to improve or simplify the statistical procedures designed for GARCH-type models. In particular, evaluation of the conditional value-at-risk (VaR) or construction of confidence intervals for predictions requires estimating quantiles of the innovations distribution. We propose tests of different hypotheses: adequacy of a set of parametric quantiles, mean–median equality, symmetry of extreme quantiles, and zero-median in presence of a conditional mean. The tests rely on the asymptotic distribution of the empirical distribution function of the residuals. They are generally model-free (though not estimation-free) and thus are simple to implement. Efficiency comparisons are made using the Bahadur approach. Numerical studies based on simulated and real data are provided to illustrate the usefulness of the proposed tests for risk management or statistical purposes.",Journal of Financial Econometrics,2023,2,"Francq, Christian; Zakoïan, Jean-Michel",https://doi.org/10.1093/jjfinec/nbac011,pass
crossref,10.1093/jjfinec/nbaa049,Decoupling the Short- and Long-Term Behavior of Stochastic Volatility,"Abstract We introduce a new class of continuous-time models of the stochastic volatility of asset prices. The models can simultaneously incorporate roughness and slowly decaying autocorrelations, including proper long memory, which are two stylized facts often found in volatility data. Our prime model is based on the so-called Brownian semistationary process and we derive a number of theoretical properties of this process, relevant to volatility modeling. Applying the models to realized volatility measures covering a vast panel of assets, we find evidence consistent with the hypothesis that time series of realized measures of volatility are both rough and very persistent. Lastly, we illustrate the utility of the models in an extensive forecasting study; we find that the models proposed in this article outperform a wide array of benchmarks considerably, indicating that it pays off to exploit both roughness and persistence in volatility forecasting.",Journal of Financial Econometrics,2022,54,"Bennedsen, Mikkel; Lunde, Asger; Pakkanen, and Mikko S",https://doi.org/10.1093/jjfinec/nbaa049,pass
crossref,10.1093/jjfinec/nbab018,An Application of Damped Diffusion for Modeling Volatility Dynamics,"Abstract This paper proposes a damped constant elasticity variance (CEV) stochastic volatility (DCEV) model, which remedies the possible explosive behavior of the CEV model and also accommodates the mean-reverting dynamics more appropriately than the nonlinear drift (NLD) stochastic volatility model. As the DCEV model maintains the linear drift, an analytic formula is available to efficiently infer latent variances from VIX levels, after which both its physical and risk-neutral parameters can be simultaneously estimated with the maximum-likelihood approach given S&amp;P 500 returns and inferred variances. The DCEV model outperforms the CEV and NLD models in in-sample fitting performance and in out-of-sample variance forecasting under the physical measure. It also exhibits superior ability in out-of-sample option pricing over the CEV and Heston’s (1993) models under the risk-neutral measure. This satisfactory performance demonstrates the suitability of describing volatility dynamics with the DCEV model and the potential of applying this to study other issues.",Journal of Financial Econometrics,2023,1,"Hung, Mao-Wei; Ko, Yi-Chen; Wang, Jr-Yan",https://doi.org/10.1093/jjfinec/nbab018,pass
crossref,10.1093/jjfinec/nbac033,"Realized GARCH, CBOE VIX, and the Volatility Risk Premium","Abstract We show that the realized GARCH model yields closed-form expression for both the volatility index (VIX) and the volatility risk premium (VRP). The realized GARCH model is driven by two shocks, a return shock and a volatility shock, and these are natural state variables in the stochastic discount factor (SDF). The volatility shock endows the exponentially affine SDF with compensation for volatility risk. This leads to dissimilar dynamic properties under the physical and risk-neutral measures that can explain time-variation in the VRP. In an empirical application with the S&amp;P 500 returns, the VIX, and the VRP, we find that the realized GARCH model significantly outperforms conventional GARCH models.",Journal of Financial Econometrics,2024,19,"Hansen, Peter Reinhard; Huang, Zhuo; Tong, Chen; Wang, Tianyi",https://doi.org/10.1093/jjfinec/nbac033,drop:no_forecast_term
crossref,10.1093/jjfinec/nbab006,Volatility Estimation and Forecasts Based on Price Durations,"Abstract We investigate price duration variance estimators that have long been neglected in the literature. In particular, we consider simple-to-construct non-parametric duration estimators, and parametric price duration estimators using autoregressive conditional duration specifications. This paper shows (i) how price duration estimators can be used for the estimation and forecasting of the integrated variance of an underlying semi-martingale price process and (ii) how they are affected by discrete and irregular spacing of observations, market microstructure noise, and finite price jumps. Specifically, we contribute to the literature by constructing the asymptotic theory for the non-parametric estimator with and without the presence of bid/ask spread and time discreteness. Further, we provide guidance about how our estimators can best be implemented in practice by appropriately selecting a threshold parameter that defines a price duration event, or by averaging over a range of non-parametric duration estimators. We also provide simulation and forecasting evidence that price duration estimators can extract relevant information from high-frequency data better and produce more accurate forecasts than competing realized volatility and option-implied variance estimators, when considered in isolation or as part of a forecasting combination setting.",Journal of Financial Econometrics,2023,18,"Hong, Seok Young; Nolte, Ingmar; Taylor, Stephen J; Zhao, Xiaolu",https://doi.org/10.1093/jjfinec/nbab006,pass
crossref,10.1093/jjfinec/nbad006,Estimating Risk in Illiquid Markets: A Model of Market Friction with Stochastic Volatility,"Abstract This article deals with the problem of estimating the volatility of a financial security in a market with frictions. We propose a microstructural model with time-varying fundamental price volatility in which the trading price varies only if the value of the information signal is large enough to guarantee a profit in excess of transaction costs. Using transaction data only, the proposed approach allows to recover: (i) the conditional volatility of the information signal, which is thus cleaned out by market frictions and (ii) an estimate of transaction costs. Our analysis reveals that, after correcting for frictions, the risk of illiquid securities is substantially different from what is predicted by traditional volatility models. Furthermore, using a big dataset of intraday returns, we show that our transaction cost estimate is highly correlated with the main illiquidity measures and that such correlations are significant under different volatility regimes.",Journal of Financial Econometrics,2024,1,"Buccheri, Giuseppe; Grassi, Stefano; Vocalelli, Giorgio",https://doi.org/10.1093/jjfinec/nbad006,drop:no_comparison_term
crossref,10.1093/jjfinec/nbaa038,News and Idiosyncratic Volatility: The Public Information Processing Hypothesis*,"Abstract Motivated by the recent availability of extensive electronic news databases and advent of new empirical methods, there has been renewed interest in investigating the impact of financial news on market outcomes for individual stocks. We develop the information processing hypothesis of return volatility to investigate the relation between firm-specific news and volatility. We propose a novel dynamic econometric specification and test it using time series regressions employing a machine learning model selection procedure. Our empirical results are based on a comprehensive dataset comprised of more than 3 million news items for a sample of 28 large U.S. companies. Our proposed econometric specification for firm-specific return volatility is a simple mixture model with two components: public information and private processing of public information. The public information processing component is defined by the contemporaneous relation with public information and volatility, while the private processing of public information component is specified as a general autoregressive process corresponding to the sequential price discovery mechanism of investors as additional information, previously not publicly available, is generated and incorporated into prices. Our results show that changes in return volatility are related to public information arrival and that including indicators of public information arrival explains on average 26% (9–65%) of changes in firm-specific return volatility.",Journal of Financial Econometrics,2021,22,"Engle, Robert F; Hansen, Martin Klint; Karagozoglu, Ahmet K; Lunde, Asger",https://doi.org/10.1093/jjfinec/nbaa038,drop:no_forecast_term
crossref,10.1093/jjfinec/nby007,Realized Wishart-GARCH: A Score-driven Multi-Asset Volatility Model*,,Journal of Financial Econometrics,2019,41,"Gorgi, P; Hansen, P R; Janus, P; Koopman, S J",https://doi.org/10.1093/jjfinec/nby007,drop:no_forecast_term
crossref,10.1093/jjfinec/nbad020,"New Approaches to Robust Inference on Market (Non-)efficiency, Volatility Clustering and Nonlinear Dependence","Abstract We present novel, robust methods for inference on market (non-)efficiency, volatility clustering, and nonlinear dependence in financial return series. In contrast to existing methodology, our proposed methods are robust against nonlinear dynamics and tail-heaviness of returns. Specifically, our methods only rely on return processes being stationary and weakly dependent (mixing) with finite moments of a suitable order. This includes robustness against power-law distributions associated with nonlinear dynamic models such as GARCH and stochastic volatility. The methods are easy to implement and perform well in realistic settings. We revisit a recent study by Baltussen, van Bekkum, and Da (2019, J. Financ. Econ., 132, 26–48) on autocorrelation in major stock indexes. Using our robust methods, we document that the evidence of the presence of negative autocorrelation is weaker, compared with the conclusions of the original study.",Journal of Financial Econometrics,2024,4,"Ibragimov, Rustam; Pedersen, Rasmus Søndergaard; Skrobotov, Anton",https://doi.org/10.1093/jjfinec/nbad020,drop:no_forecast_term
crossref,10.1093/jjfinec/nbaa024,"Predictive Modeling, Volatility, and Risk Management in Financial Markets: In Memory of Peter F. Christoffersen (Part I)",,Journal of Financial Econometrics,2020,0,"Diebold, Francis X; Garcia, René; Jacobs, Kris",https://doi.org/10.1093/jjfinec/nbaa024,drop:no_comparison_term
crossref,10.1093/jjfinec/nbab017,Forecasting under Long Memory,"Abstract Motivated by the mixed evidence in the literature on forecasting long memory processes, we show that methods based on fractional integration are superior to alternatives not accounting for long memory by simulations and applications to classical long memory time series from macroeconomics and finance. Furthermore, we analyze the optimal implementation of these methods, among others comparing parametric and local and global semiparametric estimators of the long memory parameter, providing asymptotic theory on different mean estimators and assessing the use of a fixed long memory parameter to overcome the inherent difficulties of its estimation.",Journal of Financial Econometrics,2023,3,"Hassler, Uwe; Pohle, Marc-Oliver",https://doi.org/10.1093/jjfinec/nbab017,drop:no_volatility_term
crossref,10.1093/jjfinec/nbaa041,Forecasting VIX Using Filtered Historical Simulation,"Abstract We propose a new VIX forecast method using Generalized Autoregressive Conditional Heteroscedasticity models based on the filtered historical simulation put forward in Barone-Adesi, Engle, and Mancini (2008). The flexible change of measure accommodates for non-normalities such as negative skewness and positive excess kurtosis. We present an application for four well-established volatility indices (VIX9D, VIX, VIX3M, and VIX6M). Our results show that our proposed estimation method outperforms the Normal-VIX model of Hao and Zhang (2013) both in-sample and out-of-sample. Furthermore, the use of volatility indices reduces the computational burden significantly compared to the options-based pricing method.",Journal of Financial Econometrics,2022,6,"Jiang, Yushuang; Lazar, Emese",https://doi.org/10.1093/jjfinec/nbaa041,pass
